Subject,Topic,Subtopic,Question,Explanation,Option A,Option B,Option C,Option D,Correct Option
Abdomen,General,Abdomen,"A patient with a medical history of liver cirrhosis now presents with abdominal pain, jaundice, and portal hypertension. Anastomosis between which of the following veins will be seen?",Increased portal hypertension in liver cirrhosis develops collateral circulation through anastomoses between portal and systemic veins.,Left colic vein and middle colic veins,Esophageal veins and left gastric veins,Superior and phrenic veins,Sigmoid and superior rectal veins,B
Abdomen,General,Abdomen,"During the examination of a patient with a hernia, a surgeon forcefully pushes the hernial sac back into the abdominal cavity without directly pushing back the contents first. What type of hernia has occurred as a result of this?",Reduction en masse occurs when the hernia sac is pushed back into the abdominal cavity without returning the contents to their normal position.,Strangulated hernia,Reduction en masse,Sliding hernia,Maydl's hernia,B
Abdomen,General,Abdomen,Which blood supply will be affected by the ligation of the common hepatic artery?,Ligation of the common hepatic artery interrupts blood supply to the right gastric and right gastroepiploic arteries.,Right gastric and right gastroepiploic artery,Right gastric and left gastric artery,Right gastroepiploic and short gastric vessels,Right gastric and short gastric vessels,A
Abdomen,General,Abdomen,Which blood vessels are affected by a tumor located in the uncinate process of the pancreas?,The superior mesenteric artery is close to the uncinate process of the pancreas and can be affected by tumors in this area.,Superior mesenteric artery,Portal vein,Common hepatic artery,Inferior mesenteric artery,A
Abdomen,General,Abdomen,At which vertebral level can the celiac vessel be observed in?,"The Coeliac trunk arises at the T12 vertebral level from the abdominal aorta, before branching into three arteries.",T9,T10,T12,L2,C
Abdomen,General,Abdomen,Which of the following branches arise from the anterior division of the internal iliac artery?,"This option includes all correct branches of the anterior division of the internal iliac artery: inferior gluteal, superior vesical, middle rectal, inferior vesical, and vaginal arteries.","1,2,3,5","2,3,4,6","2,3,4,5,6","1,4,5,6",C
Abdomen,General,Abdomen,What is the fundamental mechanism leading to the development of omphalocele?,Omphalocele results from a physiological herniation of abdominal organs into the umbilical cord that fails to return to the abdomen.,Excessive length of the intestine,Physiological hernia failing to go back,Herniation of liver,Herniation of umbilicus,B
Abdomen,General,Abdomen,Which of the following structures does not form the boundaries of the Calot triangle?,"The gall bladder is not a boundary of the Calot triangle, which is defined by the cystic duct, common hepatic duct, and cystic artery.",Common hepatic duct,Cystic duct,Cystic artery,Gall bladder,D
Abdomen,General,Abdomen,Which of the following was separated by the cholecysto-vena caval line?,The cholecysto-vena caval line separates the right lobe of the liver from the left lobe.,Gallbladder and inferior vena cava,Porta hepatis and inferior vena cava,Caudate lobe and quadrangular lobe,Right and left lobe of liver,D
Abdomen,General,Abdomen,Which of the following structures is not derived from the aponeurosis of the external oblique muscle?,The linea semilunaris is not derived from the aponeurosis of the external oblique muscle; it marks a transition zone on the abdominal wall.,Pectineal ligament,Inguinal ligament,Lacunar ligament,Linea semilunaris,D
Abdomen,General,Abdomen,Which one of the following statements accurately describes the characteristics of the iliopubic tract?,The iliopubic tract's fibers fan out with the fascia iliaca laterally.,It is a thickening of the lumbar fascia,It lies anterior to the Poupart’s ligament,It inserts into the pubic tubercle in front of the conjoint tendon,Its fibers fan out with fascia iliaca laterally,D
Abdomen,General,Abdomen,In which part of the liver are the Ito cells situated?,"Ito cells are located in the space of Disse within the liver, adjacent to the sinusoids.",Space of disse,Space of moll,Sinusoids,Bile canaliculi,A
Abdomen,General,Abdomen,Testicular artery is a branch of:,"The testicular artery is a branch of the abdominal aorta, supplying blood to the testicles.",Abdominal aorta,Common iliac artery,External iliac artery,Internal iliac artery,A
Abdomen,General,Abdomen,Deep inguinal ring is formed in:,"The deep inguinal ring is an opening in the transversalis fascia, located above and medial to the midpoint of the inguinal ligament.",External oblique aponeurosis,Internal oblique aponeurosis,Transversus abdominis,Transversalis fascia,D
Abdomen,General,Abdomen,Inguinal ligament is formed due to,"The inguinal ligament is formed due to the external oblique aponeurosis, extending from the ASIS to the pubic tubercle.",Cremaster muscle,External oblique aponeurosis,Internal oblique aponeurosis,Transversus abdominis,B
Abdomen,General,Abdomen,"During embryological development, the midgut undergoes rotation. In a 6-month-old infant presenting with bilious emesis, it is discovered that the cecum is fixed in the right upper quadrant due to peritoneal bands, leading to a diagnosis of intestinal malrotation. Which of the following statements accurately describes the midgut rotation during embryological development?","The midgut undergoes a 270-degree anticlockwise rotation during embryological development, positioning the cecum and ascending colon in the right lower quadrant.",270-degree clockwise,270-degree anticlockwise,360-degree clockwise,360-degree anticlockwise,B
Abdomen,General,Abdomen,Which artery is identified as originating from the territory of the celiac trunk?,"The gastroepiploic artery arises from the splenic artery, running along the greater curvature of the stomach, supplying it and the greater omentum.",Splenic artery,Gastroepiploic Artery,Gastroduodenal Artery,Left gastric artery,B
Abdomen,General,Abdomen,"Which of the following ligaments is another name for the lienorenal ligament derived from the peritoneum, where the tail of the pancreas is located in a healthy adult female?","The lienorenal ligament (spleno-renal) connects the spleen to the posterior abdominal wall and left kidney, supporting the spleen and containing the splenic artery and vein.",Hapato-gastric,Hepato-duodenal,Gastro-splenic,Spleno-renal,D
Abdomen,General,Abdomen,Which of the following is true about nerve supply of adrenal gland?,"The adrenal medulla is innervated by sympathetic preganglionic fibers from the lower thoracic and lumbar segments of the spinal cord, leading to the release of catecholamines.",Release of catecholamines is not affected by nerve supply to adrenals,Preganglionic fibres from lower thoracic and lumbar vertebra come via sympathetic chain to supply adrenals,Adrenal cortex doesn't have a direct nerve supply,Adrenal medulla doesn’t have nerve supply,B
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,What is the predominant manifestation experienced with cannabis consumption?," • The correct answer is the dream-like state. It refers to feeling in a dream or altered state of
 consciousness, often described as feeling ""stoned"" or ""high."" It's important to note that the effects of
 cannabis can vary widely depending on the individual, the amount consumed, and the method of
 consumption (e.g., smoking, edibles, etc.). Some people may experience different or additional
 symptoms, while others may not experience any noticeable effects at all",Anxiety,Depressed mood,Dream-like state,Decreased appetite,C
