Subject,Topic,Subtopic,QuestionText,Explanation,OptionA,OptionB,OptionC,OptionD,CorrectOpt
Anatomy,Neuroanatomy,Brainstem,Identify the structure marked in this cross-section of the midbrain at the level of the superior colliculus.,The red nucleus is a prominent circular structure in the midbrain tegmentum at the level of the superior colliculus, involved in motor coordination.,Substantia nigra,Red nucleus,Cerebral aqueduct,Medial lemniscus,B
Pathology,Hematology,,This peripheral blood smear shows 'target cells'. These are commonly seen in:,Target cells (codocytes) are seen in Thalassemia, liver disease, and post-splenectomy states.,Iron deficiency anemia,Thalassemia,Hereditary spherocytosis,Aplastic anemia,B
Microbiology,General Microbiology,,Identify the 'Chinese letter' arrangement seen in this Gram stain of a throat swab.,Corynebacterium diphtheriae shows characteristic club-shaped bacilli arranged in V or L shapes (Chinese letter pattern).,Streptococcus pyogenes,Corynebacterium diphtheriae,Bacillus anthracis,Listeria monocytogenes,B
Abdomen,General,Abdomen,Which of the following structures is derived from the structure labeled as A in the image?,"The structure marked A is the falciform ligament, a broad structure connecting the liver to the anterior abdominal wall.",Gastrosplenic ligament,Lienorenal ligament,Falciform ligament,Gastrophrenic ligament,C
Abdomen,General,Abdomen,"In the given image, which of the indicated structures houses the splenic artery?",The splenic artery supplies blood to the spleen and runs along the upper border of the pancreas.,2,1,3,4,D
Abdomen,General,Abdomen,Identify the liver segment marked in the image below:,"Segment V of the liver is marked in the image, located in the left lobe between the left hepatic vein and the left portal vein.",V,IVa,VII,III,A
Abdomen,General,Abdomen,Please identify the position of the appendix in the image provided.,(Explanation not provided in the input),"A -Retrocecal; B - Preileal, C - Postileal, D - Pelvic; E- Subcecal",A- Retrocecal; B- Postileal; C - Preileal; D - Pelvic; E - Paracecal,A- Retrocecal; B- Postileal; C - Preileal; D - Subcecal; E - Pelvic,A- Retrocecal; B- Postileal; C - Preileal; D - Pelvic; E - Subcecal,D
Abdomen,General,Abdomen,All are anterior to the third part of the duodenum except?,"The fundus of the gallbladder is related to the first and second parts of the duodenum, not the third part.",Superior mesenteric artery,Root of mesentery,Jejunum,Fundus of gallbladder,D
Abdomen,General,Abdomen,What is the dermatome number corresponding to the area indicated in the provided image?,"The area marked corresponds to the T10 dermatome, which covers the region at the level of the tenth thoracic vertebra.",T8,T9,T10,T11,C
Abdomen,General,Abdomen,"In relation to the anatomy of vasa brevia, a senior surgeon asks a first-year surgery resident a question that suggests vasa brevia is another term for which artery runs through the gastrosplenic ligament.",Short gastric arteries are branches of the splenic artery supplying the fundus and upper part of the greater curvature of the stomach.,Long gastric arteries,Short gastric arteries,Iliea vasa recta,Jejunal vasa recta,B
Abdomen,General,Abdomen,Identify the given image?,"The stomach is located in the upper left quadrant of the abdomen, anatomically adjacent to the left kidney.",Stomach,Spleen,2nd part of duodenum,Pancreas,A
Pharmacology,Pharmacology,Ans Pharma,"Which medication induces the depicted changes in blood pressure and heart rate, as illustrated in the image?","Norepinephrine increases blood pressure and induces reflex bradycardia by activating alpha-adrenergic receptors, leading to vasoconstriction. Other options like isoproterenol and epinephrine lead to different hemodynamic effects due to their receptor profiles.",A. Norepinephrine,B. Isoproterenol,C. Epinephrine,D. Dopamine,A
Pharmacology,Pharmacology,Ans Pharma,"What could be the likely diagnosis for a 45-year-old female patient who visited the medicine OPD complaining of muscle weakness and blurred vision after exertion, mainly in the evening? Upon examination, the patient displayed ptosis, and their symptoms improved after undergoing the edrophonium test.","B: Myasthenia gravis is an autoimmune disorder where antibodies attack nicotinic receptors at neuromuscular junctions, leading to muscle weakness. The other options describe conditions with different underlying mechanisms.",A. Lambert Eaton syndrome,B. Myasthenia gravis,C. Gullian barre syndrome,D. Bronchial asthma,B
Orthopedics,Arthritis,Arthritis,"What is the probable diagnosis for a 77-year-old woman who had a total knee replacement (TKR) and now presents with worsening pain, swelling, and stiffness in her right leg?","The most likely diagnosis in this case is Pseudogout.
 • Pseudogout, also known as calcium pyrophosphate deposition disease (CPPD), is a condition
 characterized by the deposition of calcium pyrophosphate crystals in the joints, leading to inflammation
 and symptoms similar to gout. It commonly affects large joints such as the knees, and the presentation
is often acute with sudden onset of pain, swelling, and warmth in the affected joint. The knee is a
 commonly involved joint in pseudogout.
 • In this case, the patient's symptoms of increasing pain, swelling, and stiffness of the right knee, along
 with the clinical findings of a swollen, hot, and tender knee, are consistent with an acute inflammatory
 condition such as pseudogout. The presence of meniscal calcification on X-ray is a characteristic
 finding seen in pseudogout, where the calcifications are often linear or rod-shaped, resembling a
 meniscal pattern",Pseudogout,Neuropathic arthropathy,Fluorosis,Diffuse idiopathic skeletal hyperostosis,A
Orthopedics,Arthritis,Arthritis,An elderly patient with the presented deformity was brought to the outpatient department (OPD). What is the likely diagnosis?," • The image provided shows a deformity of the hand with ulnar deviation of the fingers, which is a
 classic finding in rheumatoid arthritis (RA).
 • Rheumatoid arthritis is a chronic autoimmune disease that primarily affects the joints. It is
 characterized by synovial membrane inflammation, which lines the joint space, leading to progressive
 cartilage and bone destruction. The ulnar deviation of the fingers is a characteristic deformity seen in
 patients with RA, which is caused by the imbalance of the tendons and ligaments in the hand and wrist.",Rickets,Osteomalacia,Osteoarthritis,Rheumatoid arthritis,D
Orthopedics,Arthritis,Arthritis,A 72-year-old man came with unilateral knee pain. X-ray examination showed reduced joint space. What is the likely diagnosis?,"• In histopathology, there is loss of Articular cartilage. Reduced joint space on X-ray and unilateral knee
 pain is highly suggestive of osteoarthritis.
 • Osteoarthritis is a degenerative joint disease that can result in pathological findings such as:
 Formation of osteophytes (bony spurs) Cartilage loss Joint space narrowing Sclerosis of subchondral
 bone Subchondral cyst formation Fibrillation of articular cartilage Osteochondral fracture
 Intracartilaginous calcification
 • Formation of osteophytes (bony spurs)
 • Cartilage loss
 • Joint space narrowing
 • Sclerosis of subchondral bone
 • Subchondral cyst formation
 • Fibrillation of articular cartilage
 • Osteochondral fracture
 • Intracartilaginous calcification
 • Formation of osteophytes (bony spurs)
 • Cartilage loss
 • Joint space narrowing
 • Sclerosis of subchondral bone
 • Subchondral cyst formation
 • Fibrillation of articular cartilage
 • Osteochondral fracture
 • Intracartilaginous calcification",Osteoarthritis,Tuberculosis of the knee,Rheumatoid arthritis,Lyme disease,A
Pharmacology,Pharmacology,Autocoid Pharma,,"The X-ray shows free air under the diaphragm, indicative of peptic ulcer perforation, especially given the patient's history of NSAID use. There are no multiple air fluid levels present, ruling out intestinal obstruction, and gallstones do not typically present with free air under the diaphragm.",Intestinal obstruction,Pericarditis,Peptic ulcer perforation,Gallstones,C
Microbiology,Bacteriology,Bacteriology,A young man presents with skin lesions as shown in the image below. Identify the cause.,"Staphylococcus aureus does not show nodular involvement; instead, it causes Botryomycosis (bacterial pseudomycosis), a rare chronic bacterial granulomatous disease primarily affecting the skin.",Sporothrix schenckii,Staphylococcus aureus,Nocardia asteroides,Mycobacterium marinum,B
Microbiology,Bacteriology,Bacteriology,"An elderly male presented with meningitis, and the CSF sample was subjected to gram staining and microscopy was shown in the image given. Which of the following will be characteristics of the likely organism?","The most common cause of meningitis in patients over 60 is Listeria monocytogenes, which is motile at room temperature (20-25°C) but non-motile at 37°C.",Motile at 22° C and non-motile at 37° C,No motility at 22° C and motile at 37° C,Motile at both 37° C and 22° C,Non motile at both 37° C and 22° C,A
Microbiology,Bacteriology,Bacteriology,Identify the organism causing this condition shown in the image.,"The symptoms of nausea and vomiting shortly after eating suggest food poisoning from Staphylococcus aureus enterotoxin, which causes rapid symptoms (within 6 hours) from contaminated food.",Chlamydia,Mycoplasma,Pseudomonas,Staphylococcus,A
Microbiology,Bacteriology,Bacteriology,"A patient admitted with 50% burns develops an infection at the burn site. The swab was cultured, the isolate is a strict aerobe and the test shown in the image is positive. What is the likely etiology of the burn infection?","The positive oxidase test indicates the presence of cytochrome oxidase enzyme, leading to a deep purple color. Pseudomonas aeruginosa is known for its association with burn infections.",Klebsiella,Escherichia coli,Pseudomonas aeruginosa,Salmonella,C
Microbiology,Bacteriology,Bacteriology,"One week after having unprotected sexual intercourse, a 25-year-old male develops urethral discharge as shown in the image below. What is the most likely causative organism for this condition?","The yellow discharge after unprotected sex indicates urethritis caused by N. gonorrhoeae, which infects reproductive tract mucous membranes",Neisseria gonorrheae,Ureaplasma urealyticum,Herpes simplex virus,Trichomonas vaginalis,A
Microbiology,Bacteriology,Bacteriology,"A 22-year-old presented with high-grade fever, confused state and purpuric rash as shown in the image below. CSF sample shows gram-negative diplococci. When of the following is the most likely etiology?","Correct Option A - Neisseria meningitidis: Causes meningitis with symptoms including fever, confusion, and purpuric rash, showing gram-negative diplococci on CSF smear.",Neisseria meningitidis,Pseudomonas aeruginosa,Streptococcus pneumoniae,E.coli,A
Microbiology,Bacteriology,Bacteriology,"A 5-year-old boy was suffering from low-grade fever, inspiratory stridor and barking cough for the past 5 days. His chest X-ray is given below. What is the cause of this condition?","Correct Option B - Parainfluenza: Causes croup, indicated by barking cough, stridor, and steeple sign on chest X-ray.",Moraxella,Parainfluenza,Ebola virus,Staphylococcus aureus,B
Microbiology,Bacteriology,Bacteriology,"A patient has complaints of fever with a mild headache associated with some difficulty in swallowing. A throat examination reveals swollen glands and a thick, whitish membrane over his tonsils which bleeds on scraping the lesion. A sample is taken from the exudate and a gram stain is done, which is as shown below. What is the organism associated with the disease?","The patient’s presentation suggests diphtheria caused by Corynebacterium diphtheriae. Gram staining reveals gram-positive bacilli with a characteristic ""Chinese letter"" (V or L shaped) or cuneiform arrangement, and ends with metachromatic granules, creating a club-shaped appearance. The toxin produced by C. diphtheriae leads to exudative pharyngitis and membranous tonsillitis, with the pseudomembrane bleeding upon removal.",A. Parvovirus,B. HHV6,C. Corynebacterium diphtheria,D. Beta hemolytic streptococci,C
Microbiology,Bacteriology,Bacteriology,"A patient presented with meningitis, and the CSF sample was subjected to gram staining, which appeared in the microscopic image below. Which of the following is true of the organism?","The most common bacterium causing meningitis is Streptococcus pneumoniae, which appears as lanceolate-shaped, gram-positive, capsulated diplococci. It shows α-hemolysis on blood agar, is bile soluble, catalase-negative, and optochin sensitive, distinguishing it from other streptococci. These characteristics are critical for accurate identification and treatment of meningitis cases.",A. Oxidase and catalase negative,B. No capsule,C. β-hemolytic and lanceolate-shaped,D. α-hemolytic and lanceolate-shaped,D
Microbiology,Bacteriology,Bacteriology,"Which pathogen causes attachment & effacement lesions in the intestinal mucosa, as shown in the image?","Enteropathogenic Escherichia coli (EPEC) is responsible for attachment-effacement lesions in the intestinal mucosa. EPEC does not produce enterotoxins but adheres tightly to epithelial cells via specific factors, causing the effacement of microvilli and disruption of normal absorptive function, leading to diarrhea. This mechanism differentiates EPEC from other E. coli strains that may cause different gastrointestinal diseases.",A. Enterotoxic Escherichia coli,B. Enteropathogenic Escherichia coli,C. Enteroinvasive E. coli,D. Diffusely adherent E. coli,B
Microbiology,Bacteriology,Bacteriology,"A 45-year-old man developed generalized muscle spasm with arching of his back, as shown in the image, a few days after sustaining a puncture wound to his leg. The toxin responsible for this type of abdominal posturing acts by which of the following mechanisms?","Tetanus, characterized by generalized muscle spasms after a puncture wound, is caused by the neurotoxin tetanospasmin from Clostridium tetani. This toxin inhibits the release of GABA and glycine, which are inhibitory neurotransmitters, leading to unregulated motor neuron activity and resulting in the symptoms associated with tetanus, such as hyperreflexia and muscle spasms.",A. Presynaptic inhibitor of GABA and glycine release,B. Presynaptic inhibitor of Ach receptors,C. Postsynaptic inhibitor of GABA,D. Cleavage of SNARE proteins preventing Ach release,A
Microbiology,Bacteriology,Bacteriology,"A veterinarian developed an ulcer with a central black eschar over the forearm, as shown in the image. Which of the following is the most probable causative organism?","The ulcer with a central black eschar on the forearm is indicative of cutaneous anthrax caused by Bacillus anthracis. This presentation, particularly in certain occupational settings, suggests exposure to the bacteria. Understanding the characteristics of cutaneous anthrax is crucial for prompt diagnosis and treatment to prevent further complications associated with this infection.",A. Pseudomonas aeruginosa,B. Yersinia pestis,C. Bacillus anthracis,D. Francisella tularensis,C
Microbiology,Bacteriology,Bacteriology,"An 18-year-old female presents with a severe headache and high fever of 101°F. On examination, papilloedema and nuchal rigidity were present. Gram staining of the CSF is shown below. Causative organism is","The patient's symptoms suggest meningitis, and gram staining of cerebrospinal fluid showing gram-negative diplococci indicates Neisseria meningitidis, a common cause of bacterial meningitis.",A. Haemophilus influenzae type B,B. Neisseria meningitidis,C. Streptococcus pneumoniae,D. Listeria monocytogenes,B
